Merluccius bilinearis
Mesidotea entomon
Mesocentrotus franciscanus
Mesocentrotus nudus
Metacarcinus edwardsii
Metopa bruzelii
Metopograpsus frontalis
Metridia
Metridia longa
Metridia lucens
Metridium
Metridium dianthus
Metridium senile
Microchlamylla gracilis
Microciona prolifera
Microdeutopus damnoniensis
Microgadus tomcod
Micromesistius poutassou
Micropogonias
Micropogonias undulatus
Microporella ciliata
Micropterus salmoides
Microsetella norvegica
Microstomus kitt
Mithrax forceps
Mitrella lunata
Mnemiopsis leidyi
Modiolus
Modiolus barbatus
Modiolus modiolus
Molgula
Molgula citrina
Molgula manhattensis
Mollusca
Monacanthidae
Monacanthus ciliatus 
Monocorophium acherusicum
Monoculodes
Monoculodes carinatus
Monopseudocuma gilsoni
Morone americana
Morone saxatalis
Morone saxatilis
Mugil curema
Mulinia lateralis
Munida
Munida iris
Munida rugosa
Munida sarsi
Mustelus canis
Mustelus henlei
Mya
Mya arenaria
Mya truncata
Mycale (Mycale) lingua
Mycosphaerellaceae
Myctophidae
Myliobatis freminvillei
Myliobatis freminvillii
Myoxocephalus aenaeus
Myoxocephalus aenaues
Myoxocephalus brandtii
Myoxocephalus octodecemspinosus
Myoxocephalus quadricornis
Myoxocephalus scorpioides
Myoxocephalus scorpius
Myrianida brachycephala
Myriochele
Mysida
Mysidae
Mysis mixta
Mystus vittatus
Mytilidae
Mytilus
Mytilus edulis
Mytilus galloprovincialis
Mytilus trossulus
Myxicola infundibulum
Myxidium
Myxidium bergense
Myxine glutinosa
Myxobolus
Myxobolus aeglefini
Nacella deaurata
Nacella magellanica
Nannochloropsis
Nassariidae
Nassarius obsoletus
Nassarius trivittatus
Natatolana borealis
Navicula
Necora puber
Nematoda
Nemertea
Nemertesia ramosa
Neogobius melanostomus
Neomysis americana
Neomysis integer
Neophasis 
Neophasis anarrhichae
Nephrops norvegicus
Nephtheidae
Nephtyidae
Nephtys
Nephtys caeca
Nephtys incisa
Nereidiformia
Nereis
Nereis diversicolor
Nereis pelagica
Nereocystis luetkeanus
Neverita duplicata
Neverita duplicatus
Ninoe
Ninoe nigripes
Nitzschia
Nitzschia closterium
Notacanthus bonaparte
Nothria
Nothria conchylega
Notoacmea testudinalis
Notothenia coriiceps
Notropis hudsonius
Novocrania anomala
Nucella canaliculata
Nucella emarginata
Nucella lamellosa
Nucella lapillus
Nucella ostrina
Nucella ostrina 
Nucellicola holmanae
Nucula
Nucula proxima
Obelia geniculata
Obelia geniculata 
Obelia longissima
Obelia spp.
Ocenebra erinaceus
Octactis octonaria
Octocorallia
Oedicerotidae
Ogyrides alphaerostris
Ogyrididae
Oikopleura
Oithona
Oithona similis
Okamejei kenojei
Okenia aspersa
Olencira praegustator
Oligochaeta
Omalacantha bicornuta
Onchidoris
Onchidoris bilamellata
Onchidoris muricata
Oncorhynchus keta
Oncorhynchus tshawytscha
Onisimus glacialis
Onisimus nanseni
Onoba aculeus
Onychoteuthis banksii 
Ophelia
Ophelina
