sourceTaxonName2,targetTaxonName2,sourceTaxon_zone,targetTaxon_zone,interactionTypeName,Paper ID,Reference DOI,sourceTaxonName,targetTaxonName,localityName,decimalLatitude,decimalLongitude,observationDateTime,Reference ISBN,Notes,source_taxon_external_id,source_taxon_path,source_specimen_life_stage,target_taxon_external_id,target_taxon_path,target_specimen_life_stage,latitude,longitude,study_citation,study_source_citation
Buccinum undatum,Phycodrys rubens,Subtidal,Subtidal,eats,NA,NA,Buccinum undatum,Phycodrys rubens,NA,NA,NA,NA,NA,NA,EOL_V2:595071,Animalia | Mollusca | Gastropoda | Neogastropoda | Buccinoidea | Buccinidae | Buccinum | Buccinum undatum,NA,GBIF:9087373,Plantae | Rhodophyta | Florideophyceae | Ceramiales | Delesseriaceae | Phycodrys | Phycodrys rubens,NA,NA,NA,NA,NA
Buccinum undatum,Saccharina latissima,Subtidal,Subtidal,eats,NA,NA,Buccinum undatum,Saccharina latissima,NA,NA,NA,NA,NA,NA,EOL_V2:595071,Animalia | Mollusca | Gastropoda | Neogastropoda | Buccinoidea | Buccinidae | Buccinum | Buccinum undatum,NA,FBC:SLB:SpecCode:155096,Phaeophyceae | Laminariales | Laminariaceae | Saccharina | Saccharina latissima,NA,NA,NA,NA,NA
Buccinum undatum,Saccorhiza dermatodea,Subtidal,Subtidal,eats,NA,NA,Buccinum undatum,Saccorhiza dermatodea,NA,NA,NA,NA,NA,NA,EOL_V2:595071,Animalia | Mollusca | Gastropoda | Neogastropoda | Buccinoidea | Buccinidae | Buccinum | Buccinum undatum,NA,GBIF:5422621,Chromista | Ochrophyta | Phaeophyceae | Tilopteridales | Phyllariaceae | Saccorhiza | Saccorhiza dermatodea,NA,NA,NA,NA,NA
Buccinum undatum,Strongylocentrotus droebachiensis,Subtidal,Both,preys on,321,10.1007/BF00350059,Buccinum undatum,Strongylocentrotus droebachiensis,Mingan Islands,50.2000129,-63.7801514,1987-1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cancer borealis,Amphipoda,Subtidal,Both,preys on,110,10.2307/1549103,Cancer borealis,Amphipoda,Christiansen Basin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cancer borealis,Aplidium pallidum,Subtidal,Subtidal,preys on,40,ISBN 10: 0340370118,Aplidium pallidum,Cancer borealis,New England,NA,NA,NA,ISBN 10: 0340370114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cancer borealis,Asterias rubens,Subtidal,Subtidal,preys on,NA,10.1016/j.jembe.2009.04.001,Cancer borealis,Asterias rubens,Appledore Island,42.96666667,-70.61666667,6/1/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cancer borealis,Buccinum undatum,Subtidal,Subtidal,preys on,2386,https://www.proquest.com/docview/303488469?fromopenview=true&pq-origsite=gscholar,Cancer borealis,Buccinum undatum,"Pemaquid Point, Maine",43.83121033,-69.51379033,August 1984 - October 2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cancer borealis,Cancer irroratus,Subtidal,Subtidal,preys on,NA,NA,Cancer borealis,Cancer irroratus,NA,NA,NA,NA,NA,NA,FBC:SLB:SpecCode:26783,Malacostraca | Decapoda | Cancridae | Cancer | Cancer borealis,NA,BioGoMx:Spp-59-0782,Animalia | Arthropoda | Crustacea | Malacostraca | Decapoda | Pleocyemata | Brachyura | Eubrachyura | Heterotremata | Cancroidea | Cancridae | Cancer | Cancer irroratus,NA,NA,NA,NA,NA
Cancer borealis,Carcinus maenas,Subtidal,Both,preys on,NA,10.1651/08-3066.1,Cancer borealis,Carcinus maenas,Appledore Island,42.96666667,-70.61666667,6/1/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
